term,document_count,percent
jährige altersentsprechendem,32,5.4
praktisch,32,5.4
fügt hinzu,32,5.4
demenz,32,5.4
schmerzen ziehender,32,5.4
weiterer somatischer,31,5.2
gebessert,31,5.2
anschließend,31,5.2
atorvastatin,31,5.2
längeres,31,5.2
hitze,31,5.2
tritt,31,5.2
darm,31,5.2
ersten,31,5.2
betont,31,5.2
genannten,31,5.2
penicillin,31,5.2
einschränkung,31,5.2
ellenbogen,31,5.2
bronchiale somatisch,31,5.2
armen,31,5.2
lebensjahr,31,5.2
zunehmende erschöpfungssymptomatik,31,5.2
durchfallneigung,31,5.2
unregelmäßig,31,5.2
weiteren somatischer,31,5.2
beschwerdenlinderung,31,5.2
schlafapnoesyndrom,31,5.2
aura,31,5.2
konservativ,31,5.2
bisoprolol,31,5.2
zehen,31,5.2
liegt,31,5.2
dauern,30,5.1
verspüre,30,5.1
seither,30,5.1
nierenpuls schwäche,30,5.1
nierenlager peripheren,30,5.1
psychische,30,5.1
genug,30,5.1
stechendem,30,5.1
verschlechtert habe,30,5.1
rechts links,30,5.1
abklärung,30,5.1
verbunden,30,5.1
vordergrund stehen,30,5.1
syndrom tinnitus,30,5.1
körperlicher belastung,30,5.1
gesamte,30,5.1
nacht vorhanden,30,5.1
tagsüber,30,5.1
folge,30,5.1
verstopfung,30,5.1
schmerzlindernde faktoren,30,5.1
vermehrten,30,5.1
somatischen beschwerden,30,5.1
kopf reizlose,30,5.1
vater mutter,30,5.1
ziehender schmerzqualität,30,5.1
beginn,30,5.1
brennenden,30,5.1
verschlechterung symptomatik,30,5.1
leistenbruch,29,4.9
häufig müde,29,4.9
bläulich dünner,29,4.9
magnesium,29,4.9
erbrechen,29,4.9
schulterbereich handle,29,4.9
valgus,29,4.9
schmerzen stechenden,29,4.9
pfeifen tinnitus,29,4.9
starke,29,4.9
zurzeit,29,4.9
gestört aufenthalt,29,4.9
schlafbedürfnis,29,4.9
persistierende,29,4.9
hypertonie diabetes,29,4.9
harndrang,29,4.9
punkte,29,4.9
krankheitsbild vordergrund,29,4.9
schlankem,29,4.9
vier jahren,29,4.9
schmerzsyndrom,29,4.9
erschwerend,29,4.9
infektanfälligkeit,29,4.9
liter manchmal,29,4.9
kurzzeitigen,29,4.9
lokale wärmeanwendungen,29,4.9
thyreoiditis somatisch,29,4.9
diesbezüglich,29,4.9
obstruktives schlafapnoesyndrom,28,4.7
hallux,28,4.7
obstipation,28,4.7
diclofenac,28,4.7
schwer,28,4.7
stuhlgang tägl,28,4.7
regelmäßige,28,4.7
müde belastbarkeitsgrenze,28,4.7
morgensteifigkeit,28,4.7
psoriasis,28,4.7
möglich,28,4.7
mehrfach,28,4.7
pollenallergie,28,4.7
gastritis,28,4.7
aufgetreten,28,4.7
muskulatur,28,4.7
tägl geformt,28,4.7
schwellung,28,4.7
wechselnder,28,4.7
vater gynäkologische,28,4.7
gegenüber,28,4.7
stationäre komplexen,28,4.7
sieben,28,4.7
auge,28,4.7
beidseitig,28,4.7
narbe thyreoidektomie,28,4.7
covid infektion,28,4.7
faktor,28,4.7
häufige,28,4.7
stunde,28,4.7
kommt stationäre,28,4.7
schlankem haut,28,4.7
mutter schlaganfall,28,4.7
ausgeprägt,28,4.7
weißer klebriger,28,4.7
oberen,28,4.7
zyklus regelmäßig,28,4.7
drei geburten,27,4.6
sieben jahren,27,4.6
bereich rechten,27,4.6
tastbaren resistenzen,27,4.6
acht jahren,27,4.6
hallux valgus,27,4.6
gestört appetit,27,4.6
psychophysischen,27,4.6
loslassschmerz tastbaren,27,4.6
anspannung,27,4.6
deutlich zugespitzt,27,4.6
störung allergien,27,4.6
schwankend häufig,27,4.6
syndrom arterielle,27,4.6
angespannt sowohl,27,4.6
ausgeprägten psychophysischen,27,4.6
migräne aura,27,4.6
verringert,27,4.6
infektionen,27,4.6
erstmals,27,4.6
oben genannten,27,4.6
zwei wochen,27,4.6
verminderung,27,4.6
spondylarthrose,27,4.6
stechende schmerzen,27,4.6
duloxetin,27,4.6
resistenzen,27,4.6
tastbaren,27,4.6
angst,27,4.6
breiig,27,4.6
damals,27,4.6
mäßig,27,4.6
tagen,27,4.6
gynäkologische geburten,27,4.6
tilidin,27,4.6
wetter,27,4.6
geführt,27,4.6
ausstrahlen,27,4.6
operativ,26,4.4
gelenkschmerzen,26,4.4
hitzewallungen temperaturtoleranz,26,4.4
kraftlosigkeit,26,4.4
lokal,26,4.4
abhängig,26,4.4
deutlicher,26,4.4
seien schmerzen,26,4.4
anhalten,26,4.4
licht,26,4.4
auftretenden,26,4.4
beträgt,26,4.4
überforderung,26,4.4
amlodipin,26,4.4
regelmäßig letzte,26,4.4
sechs jahren,26,4.4
kribbeln,26,4.4
dekristol wöchentlich,26,4.4
schlafen,26,4.4
gekommen,26,4.4
wechsel,26,4.4
brust,26,4.4
blockaden,26,4.4
meniskus,26,4.4
schmerzlinderung wärmeapplikationen,26,4.4
mehrere stunden,26,4.4
venlafaxin,26,4.4
gelindert,26,4.4
beschwerden treten,26,4.4
zahlreiche,26,4.4
geistiger,26,4.4
leidet jahren,26,4.4
höhe,26,4.4
schwester,26,4.4
handelt anhaltende,25,4.2
gewichtsabnahme,25,4.2
besonderheiten rezidivierende,25,4.2
nykturie schwitzen,25,4.2
abwehrspannung,25,4.2
bauchdecken,25,4.2
chron,25,4.2
besteht ausgeprägte,25,4.2
normal schleichende,25,4.2
psychophysischen erschöpfung,25,4.2
appetit mäßig,25,4.2
prednisolon,25,4.2
erreichen,25,4.2
selbst,25,4.2
medikamentös,25,4.2
struma,25,4.2
starker,25,4.2
unterschenkel,25,4.2
bruder,25,4.2
metformin,25,4.2
stadium,25,4.2
berichte aufnahmegespräch,25,4.2
vergangenheit,25,4.2
zeigte,25,4.2
psychisch,25,4.2
novalgin,25,4.2
einschränkungen,25,4.2
betroffen seien,25,4.2
selten nachtschweiß,25,4.2
jährige normalem,25,4.2
aufbauen beschwerdenlinderung,25,4.2
essen,25,4.2
sozialen,25,4.2
legs,25,4.2
trotz,25,4.2
kalte füße,24,4.1
rechten schulter,24,4.1
hätte,24,4.1
seelisch,24,4.1
restless,24,4.1
antriebs,24,4.1
schmerzqualität ziehend,24,4.1
ausstrahlung rechte,24,4.1
belastungsgrenze,24,4.1
ergab,24,4.1
fußpulse palpabel,24,4.1
restless legs,24,4.1
colitis,24,4.1
trete,24,4.1
novaminsulfon übliche,24,4.1
verspannungen nacken,24,4.1
chronisch,24,4.1
komponente,24,4.1
krebsleiden,24,4.1
besser,24,4.1
somatische fibromyalgie,24,4.1
abdomen bauchdecken,24,4.1
appetit schwankend,24,4.1
verschiedenen,24,4.1
brustkrebs,24,4.1
fraktur,24,4.1
teilweise durchschlafstörungen,24,4.1
teilweise leide,24,4.1
häufig energielos,24,4.1
sprunggelenk,24,4.1
massage,24,4.1
krankengymnastik,24,4.1
häufig gereizt,24,4.1
schwäche nieren,24,4.1
lang,24,4.1
kurzzeitige,24,4.1
möchte,24,4.1
relevanten,24,4.1
mamma,24,4.1
dünner gelber,24,4.1
betrifft,24,4.1
unteren extremitäten,24,4.1
versorgt,24,4.1
depressive symptomatik,24,4.1
muskuläre,24,4.1
schulter rechts,24,4.1
bedarfsmedikation novaminsulfon,24,4.1
anhaltenden schmerzen,24,4.1
letzten zeit,24,4.1
links rechts,24,4.1
therapierelevante,24,4.1
vordergrund psychischen,24,4.1
erneut,24,4.1
physiotherapie,24,4.1
unruhe fühle,24,4.1
wärmetherapie,24,4.1
zunahme,24,4.1
genug erholsam,24,4.1
bauchdecken weich,24,4.1
rhizarthrose,24,4.1
abwehrspannung darmgeräusche,24,4.1
resistenzen abwehrspannung,24,4.1
weitere therapierelevante,24,4.1
degenerative,24,4.1
hintergrund durchgemachten,24,4.1
stechenden schmerzen,24,4.1
handle intermittierende,23,3.9
herzinfarkt,23,3.9
prostatahyperplasie,23,3.9
schlafapnoe,23,3.9
arbeit,23,3.9
dreimal,23,3.9
euthyrox,23,3.9
präsent,23,3.9
allergische,23,3.9
borreliose,23,3.9
konservativ behandelt,23,3.9
pulse zart,23,3.9
kaiserschnitt,23,3.9
qualität,23,3.9
mundtrockenheit schwitzen,23,3.9
anstrengung,23,3.9
gelegentliche,23,3.9
pochenden,23,3.9
fünfzehn jahren,23,3.9
gräser,23,3.9
chronischer,23,3.9
dauer,23,3.9
zervikobrachialsyndrom,23,3.9
stimmung energie,23,3.9
schulterschmerzen rechts,23,3.9
thyrox,23,3.9
schmerzen stechend,23,3.9
dreißig,23,3.9
dumpfe,23,3.9
pochend,23,3.9
schon,23,3.9
verbesserung,23,3.9
komponente steht,23,3.9
psychischen komponente,23,3.9
längerer,23,3.9
fehlhaltung,23,3.9
fünfzehn,23,3.9
beschwerdebild,23,3.9
linderung führen,23,3.9
brennen,23,3.9
innerer,23,3.9
aufstoßen,23,3.9
wechselnd,23,3.9
spinalkanalstenose,23,3.9
dreißig jahren,23,3.9
stirnbereich,23,3.9
rauschen,23,3.9
pflaster,23,3.9
sorge,23,3.9
risikofaktoren schlaf,23,3.9
gesamten körper,23,3.9
schlimmsten,23,3.9
bessern,23,3.9
thyreoidektomie strömungsgeräusch,23,3.9
aufnahmegespräch hintergrund,23,3.9
legs syndrom,23,3.9
zudem bestehen,23,3.9
interessenverlust,23,3.9
bemerkt,23,3.9
normales,23,3.9
geworden schlaf,22,3.7
zugenommen,22,3.7
normales durstgefühl,22,3.7
beschwerden klagte,22,3.7
verminderung antriebs,22,3.7
schwierigkeiten,22,3.7
geburten zyklus,22,3.7
therapierelevante beschwerden,22,3.7
ausgeprägtes,22,3.7
letzten zwei,22,3.7
stechender,22,3.7
vorwiegend,22,3.7
mutter diabetes,22,3.7
habe schmerzen,22,3.7
rechts allergien,22,3.7
bestehe ausgeprägte,22,3.7
tinnitus nacht,22,3.7
sorgen,22,3.7
angenehm,22,3.7
halben,22,3.7
missempfindungen,22,3.7
leistungsfähigkeit deutlich,22,3.7
schmerzqualität begleiterscheinungen,22,3.7
bezüglich,22,3.7
zeitweise,22,3.7
arbeitsfähigkeit schlaf,22,3.7
heißhunger,22,3.7
konstant normal,22,3.7
körperlich seelisch,22,3.7
hüfteschmerzen,22,3.7
schwach nieren,22,3.7
stagnation nässe,22,3.7
vater diabetes,22,3.7
verdauungsstörungen,22,3.7
beschwerdelinderung candesartan,22,3.7
betreffen,22,3.7
nickel,22,3.7
nachtschweiß hitzewallungen,22,3.7
alter,22,3.7
jahren müdigkeitssymptomatik,22,3.7
empfinde,22,3.7
endometriose,22,3.7
knieschmerzen rechts,22,3.7
erhöhte,21,3.5
leide intermittierenden,21,3.5
abend,21,3.5
eigenen,21,3.5
traten,21,3.5
bewegungen,21,3.5
ulcerosa,21,3.5
implantation,21,3.5
zeigten meistens,21,3.5
störung chronische,21,3.5
stellt,21,3.5
belastungsabhängige schmerzen,21,3.5
kurzzeitige linderung,21,3.5
wenigen,21,3.5
bauch,21,3.5
mittels,21,3.5
aktivität,21,3.5
sturz,21,3.5
schlaf genug,21,3.5
somatische erschöpfungssyndrom,21,3.5
jahren dorsalgien,21,3.5
beschwerden bestehen,21,3.5
konstant durst,21,3.5
metamizol,21,3.5
würden schmerzen,21,3.5
episoden,21,3.5
auftretende schmerzen,21,3.5
schmerzen ziehend,21,3.5
patholog,21,3.5
hüft,21,3.5
stärksten,21,3.5
schlaganfall gynäkologische,21,3.5
beruflichen,21,3.5
nackenbereich,21,3.5
paar,21,3.5
bereich linken,21,3.5
colitis ulcerosa,21,3.5
vollständig,21,3.5
aufnahmegespräch zehn,21,3.5
harndrang schwitzen,21,3.5
schwäche blutstau,21,3.5
brennende,21,3.5
stehen gehen,21,3.5
syndrom knieschmerzen,21,3.5
jahr deutlich,21,3.5
zudem besteht,21,3.5
situationen,21,3.5
auskultierbar nierenlager,21,3.5
risikofaktoren nikotinkonsum,21,3.5
herzaktionen patholog,21,3.5
patholog nebengeräusche,21,3.5
belastungsabhängigen,21,3.5
nehmen,21,3.5
schlafapnoe syndrom,20,3.4
vermehrt tagestrinkmenge,20,3.4
stets,20,3.4
bestehende schmerzen,20,3.4
zudem bestehe,20,3.4
liege,20,3.4
antriebslosigkeit,20,3.4
auslöser,20,3.4
magen darm,20,3.4
gefühl kraft,20,3.4
hyperurikämie,20,3.4
mirtazapin,20,3.4
sondern,20,3.4
pollen,20,3.4
syndrom spannungskopfschmerzen,20,3.4
kraftlos,20,3.4
freud interessenverlust,20,3.4
musste,20,3.4
wochen kardiovaskuläre,20,3.4
täglich weich,20,3.4
fingern,20,3.4
comp,20,3.4
lokale wärmetherapie,20,3.4
ganz unterschiedlich,20,3.4
schmerzhafte,20,3.4
bereich schmerzen,20,3.4
fibromyalgie syndrom,20,3.4
ziehendem schmerzcharakter,20,3.4
leicht klebriger,20,3.4
erhöhtes,20,3.4
alkohol,20,3.4
verdauungsbeschwerden,20,3.4
zunehmender,20,3.4
freud,20,3.4
begonnen,20,3.4
vermehrten blähungen,20,3.4
stellen,20,3.4
geburt zyklus,20,3.4
miktion harndrang,20,3.4
pfeifton,20,3.4
akuten,20,3.4
schwellungen,20,3.4
vergleich,20,3.4
fußsohlen,20,3.4
kurzzeitigen linderung,20,3.4
berufliche,20,3.4
gutem schlankem,20,3.4
coxarthrose,20,3.4
erschöpfung leiden,20,3.4
instabilität,20,3.4
laufe,20,3.4
kniegelenk,20,3.4
corona infektion,20,3.4
muskulären,20,3.4
längeres sitzen,20,3.4
leiden nacken,20,3.4
neigung,20,3.4
wechselnder intensität,20,3.4
intensiver,20,3.4
benommenheit,19,3.2
vermehrter,19,3.2
gefasst leide,19,3.2
zugespitzt habe,19,3.2
beschwerdelinderung mehrere,19,3.2
deutlich schneller,19,3.2
wechselhaft,19,3.2
leben,19,3.2
wieder müdigkeitssymptomatik,19,3.2
vorne,19,3.2
abends,19,3.2
befindet,19,3.2
zudem leidet,19,3.2
september,19,3.2
sitzen stehen,19,3.2
durchschlafstörungen beeinträchtigt,19,3.2
ziehend stechend,19,3.2
juckreiz,19,3.2
beschwerden nennt,19,3.2
puls schwäche,19,3.2
depressionen,19,3.2
jähriger altersentsprechendem,19,3.2
unverträglichkeiten,19,3.2
wirkung,19,3.2
linke bein,19,3.2
impfung,19,3.2
milz schwäche,19,3.2
wind,19,3.2
durchgemachten corona,19,3.2
bereich leiden,19,3.2
gelenken,19,3.2
ausstrahlung beinen,19,3.2
genese,19,3.2
temperaturtoleranz schwankend,19,3.2
knie rechts,19,3.2
schmerzfreien,19,3.2
omeprazol,19,3.2
auftritt,19,3.2
weizen,19,3.2
steifigkeit,19,3.2
danach,19,3.2
rosuvastatin,19,3.2
erhöhtes schlafbedürfnis,19,3.2
bestimmten,19,3.2
weich druckempfindlichkeit,19,3.2
druckempfindlichkeit loslassschmerz,19,3.2
corona geimpft,19,3.2
ausgeschlossen,19,3.2
süßes,19,3.2
beschwerdelinderung übliche,19,3.2
nieren puls,19,3.2
schmerzen würden,19,3.2
relativ,19,3.2
prostata,19,3.2
belastungsabhängig,19,3.2
ganzen körper,19,3.2
zahneindrücke dünner,19,3.2
erschöpfungsgefühl,19,3.2
stenose,19,3.2
schmerzcharakter ausstrahlung,18,3.0
habe zunehmend,18,3.0
segment,18,3.0
kurzzeitig lindern,18,3.0
schlafe,18,3.0
beschwerdelinderung bedarfsmedikation,18,3.0
zunge bläulich,18,3.0
schmerzen unterschiedlicher,18,3.0
somatische chronische,18,3.0
energie seien,18,3.0
impingement,18,3.0
stationär,18,3.0
knies,18,3.0
kleine,18,3.0
zunge puls,18,3.0
spannungskopfschmerz,18,3.0
forte,18,3.0
seien reduziert,18,3.0
dauerhaft vorhanden,18,3.0
letzten jahr,18,3.0
beweglichkeit,18,3.0
entfernt,18,3.0
psychotherapie,18,3.0
unklarer,18,3.0
andauern,18,3.0
dumpfen,18,3.0
muskuläre verspannungen,18,3.0
belastungsdyspnoe,18,3.0
resektion,18,3.0
kleinen,18,3.0
schwankend energieniveau,18,3.0
hypertonie hypercholesterinämie,18,3.0
alter jahren,18,3.0
aurium beidseits,18,3.0
untere,18,3.0
positiv,18,3.0
beschwerden rahmen,18,3.0
jahren beschwerden,18,3.0
neurodermitis,18,3.0
degeneratives,18,3.0
zurückgezogen,18,3.0
schmerzproblematik,18,3.0
führt,18,3.0
nase,18,3.0
körperregionen,18,3.0
gelenkbeschwerden,18,3.0
langes,18,3.0
schmerzsymptomatik deutlich,18,3.0
vater darmkrebs,18,3.0
linken schulter,18,3.0
linderung beschwerden,18,3.0
aurium somatisch,18,3.0
montags,18,3.0
intensiv,18,3.0
allmählich,18,3.0
mittlerweile,18,3.0
hypercholesterinämie durchschlafstörungen,18,3.0
syndrom kopfschmerzen,18,3.0
wesentlichen,18,3.0
schmerzfreien phasen,18,3.0
innerer unruhe,18,3.0
rechts syndrom,18,3.0
luft,18,3.0
häufiger,18,3.0
erfahre lokale,18,3.0
somatisierungsstörung,18,3.0
erfolg,18,3.0
ziehende schmerzen,18,3.0
zunehmende müdigkeitssymptomatik,18,3.0
empfunden zudem,18,3.0
wiederholt,18,3.0
emotionale,18,3.0
früher erreicht,18,3.0
schneller früher,18,3.0
schlecht,18,3.0
hinsichtlich somatischen,18,3.0
tätigkeiten,18,3.0
gelingt,18,3.0
familiären,18,3.0
beschwerdesymptomatik,18,3.0
gelber klebriger,18,3.0
schlüpfrig nieren,17,2.9
familiärer,17,2.9
leistenhernie,17,2.9
eingeschränkt konzentration,17,2.9
teilweise ausstrahlung,17,2.9
sectio,17,2.9
burn,17,2.9
anhaltend,17,2.9
autounfall,17,2.9
auftreten würden,17,2.9
lediglich,17,2.9
angststörung,17,2.9
beschreibt deutliche,17,2.9
deutliche verschlechterung,17,2.9
längere,17,2.9
insuffizienz,17,2.9
ziehenden stechenden,17,2.9
manuelle zudem,17,2.9
fühlen,17,2.9
konsistenz,17,2.9
versorgung,17,2.9
diagnostizierten,17,2.9
rheumatoide arthritis,17,2.9
leiden beschwerden,17,2.9
rheumatoide,17,2.9
dekompression,17,2.9
operative,17,2.9
refluxkrankheit,17,2.9
symptomen,17,2.9
hinlegen,17,2.9
hüften,17,2.9
arterieller,17,2.9
gewichtszunahme stuhlgang,17,2.9
august,17,2.9
konzentrationsschwäche,17,2.9
unregelmäßig letzte,17,2.9
reizdarmsyndrom vermutet,17,2.9
prostatakrebs,17,2.9
benennen,17,2.9
halbes jahr,17,2.9
unserer klinik,17,2.9
leiste,17,2.9
parkinson,17,2.9
leistungsfähigkeit reduziert,17,2.9
gefasst leidet,17,2.9
familiäre,17,2.9
escitalopram,17,2.9
seien meistens,17,2.9
erwachen,17,2.9
spannungskopfschmerzen migräne,17,2.9
körperhälfte,17,2.9
fingergelenke,17,2.9
beschwerden seien,17,2.9
nehme,17,2.9
rechten seite,17,2.9
creme,17,2.9
fühle angespannt,17,2.9
zungenspitze,17,2.9
liter täglich,17,2.9
schmerzen wärme,17,2.9
verdacht,17,2.9
rote,17,2.9
jahren bestehenden,17,2.9
beobachtet,17,2.9
fleckig,17,2.9
normal gewichtszunahme,17,2.9
verspürt,17,2.9
wiederkehrende,17,2.9
aufgenommen,17,2.9
antibiotika,17,2.9
große,17,2.9
parästhesien,17,2.9
seien beschwerden,17,2.9
leichte bewegung,17,2.9
pulse schlüpfrig,17,2.9
leide zehn,17,2.9
einigen,17,2.9
halbes,17,2.9
sinusitis,17,2.9
herpes,17,2.9
stressinkontinenz,17,2.9
geräuschempfindlichkeit,17,2.9
wortfindungsstörungen,17,2.9
grüble,17,2.9
syndrom nichtorganische,17,2.9
tragen,17,2.9
teil,17,2.9
operiert,16,2.7
pantoprazol übliche,16,2.7
schulter bereich,16,2.7
leiden beschreibt,16,2.7
belastungsgrenze deutlich,16,2.7
schlaganfall kardiovaskuläre,16,2.7
fest,16,2.7
stark beeinträchtigt,16,2.7
verschlimmern,16,2.7
positive nikotinkonsum,16,2.7
kognitive,16,2.7
knieschmerzen links,16,2.7
rechten hand,16,2.7
massagen,16,2.7
mäßig gewicht,16,2.7
belastet,16,2.7
existenzängste,16,2.7
salbutamol,16,2.7
degenerative veränderungen,16,2.7
denen,16,2.7
linkes,16,2.7
beschwerdelinderung thyroxin,16,2.7
beschreibt schmerzen,16,2.7
kognitiven,16,2.7
laktoseintoleranz,16,2.7
hingegen,16,2.7
erfährt,16,2.7
drückende,16,2.7
erreicht stimmung,16,2.7
hohes,16,2.7
schweregefühl,16,2.7
wieder schmerzen,16,2.7
habe symptomatik,16,2.7
kniegelenke,16,2.7
schweren,16,2.7
bandscheibenprotrusion,16,2.7
eingriff,16,2.7
phase,16,2.7
hinaus jahren,16,2.7
bett,16,2.7
diffusen,16,2.7
würden zeigten,16,2.7
jahren zunehmenden,16,2.7
symptomatik habe,16,2.7
ausstrahlung linke,16,2.7
besserung beschwerden,16,2.7
subjektiv,16,2.7
flatulenz,16,2.7
letzten aufenthalt,16,2.7
interessenverlust stimmung,16,2.7
verlangsamung,16,2.7
gelenk,16,2.7
juli,16,2.7
hämorrhoiden,16,2.7
operativer,16,2.7
nahrungsmittel,16,2.7
antriebs leistungsfähigkeit,16,2.7
psychophysischer,16,2.7
fibromyalgiesyndrom,16,2.7
seien beeinträchtigt,16,2.7
spezielle schilderung,16,2.7
kind,16,2.7
schlafapnoesyndrom somatisch,16,2.7
ängste,16,2.7
generalisierte,16,2.7
eruierbar,16,2.7
adipositas,16,2.7
erkrankung allergien,16,2.7
verringert nachtschweiß,16,2.7
druckgefühl,16,2.7
sodass,16,2.7
seien dadurch,16,2.7
dauerhafte,16,2.7
somatisch jahren,16,2.7
verstärke,16,2.7
nackenschmerzen,16,2.7
schleim,16,2.7
beginnt,16,2.7
aussage,16,2.7
linken seite,16,2.7
handgelenken,16,2.7
licht geräuschempfindlichkeit,16,2.7
hypertonie hypothyreose,16,2.7
knie links,16,2.7
schlaganfall mutter,16,2.7
bestehen ausgeprägte,16,2.7
müdigkeitssyndrom somatisch,16,2.7
lercanidipin,16,2.7
foster,16,2.7
hauptproblem,16,2.7
vorübergehend,16,2.7
juni,16,2.7
heißhungerattacken,16,2.7
grunderkrankung,16,2.7
rissig,16,2.7
belastend,16,2.7
mangel,16,2.7
möglichen,15,2.5
freude,15,2.5
nasenscheidewand,15,2.5
kurzzeitig gelindert,15,2.5
brain,15,2.5
längeren,15,2.5
gleichzeitig,15,2.5
vulgaris,15,2.5
beschwerdensymptomatik,15,2.5
stechend empfunden,15,2.5
linksseitig,15,2.5
krampfartige,15,2.5
maßnahmen,15,2.5
saitenförmig zart,15,2.5
unterbauch,15,2.5
geburt hysterektomie,15,2.5
risikofaktoren hypercholesterinämie,15,2.5
syndrom chronisches,15,2.5
zwölf,15,2.5
melatonin,15,2.5
heben,15,2.5
schwankend gewicht,15,2.5
drei wochen,15,2.5
skoliose,15,2.5
eingestellt,15,2.5
blähbauch,15,2.5
chronische gastritis,15,2.5
monatlich,15,2.5
empfindet,15,2.5
schulterschmerzen links,15,2.5
gehäuften,15,2.5
familiär gehäuften,15,2.5
verbessert candesartan,15,2.5
symptomatik hinsichtlich,15,2.5
tätigkeit,15,2.5
mögliche,15,2.5
träten,15,2.5
vater demenz,15,2.5
führe,15,2.5
liter nachts,15,2.5
durchfällen,15,2.5
plötzlich,15,2.5
kardiologische,15,2.5
gehäuften erkrankungen,15,2.5
relevanten familiär,15,2.5
erkrankungen eruierbar,15,2.5
gerädert,15,2.5
liter selten,15,2.5
leistungsfähigkeit erschöpft,15,2.5
häufig kalte,15,2.5
eingeschränkt spüre,15,2.5
verschlechterung kälte,15,2.5
allopurinol,15,2.5
zunehmen,15,2.5
familiär,15,2.5
nächtlichen,15,2.5
wenigen schmerzfreien,15,2.5
kopfschmerzen leiden,15,2.5
entwicklung,15,2.5
lebensqualität,15,2.5
manchmal nachtschweiß,15,2.5
fatigue,15,2.5
äußern,15,2.5
somatische reizdarmsyndrom,15,2.5
überlastung,15,2.5
übergewichtigem,15,2.5
emotional,15,2.5
zukunfts existenzängste,15,2.5
mellitus gynäkologische,15,2.5
position,15,2.5
begannen,15,2.5
hohes pfeifen,15,2.5
erlitt,15,2.5
crash,15,2.5
existenzängste sorge,15,2.5
taubheitsgefühle,15,2.5
körpers,15,2.5
spray,15,2.5
mellitus kardiovaskuläre,15,2.5
schmerzmittel,15,2.5
deutlich verstärkt,15,2.5
verminderte,15,2.5
vorübergehende,15,2.5
rezidivierend,15,2.5
erschöpfungszustand,15,2.5
impingement syndrom,15,2.5
geimpft covid,15,2.5
jahren ganzkörperschmerzen,15,2.5
psoriasis vulgaris,15,2.5
pulse milz,15,2.5
meistens lokal,15,2.5
schmerzverstärkend,15,2.5
geschwollen,15,2.5
rechten oberschenkel,15,2.5
zukunfts,15,2.5
muskulären verspannungen,15,2.5
gangunsicherheit,15,2.5
beruflicher,15,2.5
syndrom reizdarmsyndrom,15,2.5
vergrößert wirbelsäule,15,2.5
stressinkontinenz schwitzen,14,2.4
wärmeanwendungen manuelle,14,2.4
migräne spannungskopfschmerzen,14,2.4
tonsillektomie kindheit,14,2.4
zudem schildert,14,2.4
daraufhin,14,2.4
syndroms,14,2.4
aufnahmegespräch jahr,14,2.4
gesichtsbereich,14,2.4
polyarthralgien,14,2.4
funktionelle,14,2.4
einschätzung,14,2.4
schwankschwindel,14,2.4
erhöhter,14,2.4
ausgeprägte überforderung,14,2.4
jahren kopfschmerzen,14,2.4
geformt vermehrte,14,2.4
siehe,14,2.4
allergisches,14,2.4
situation psychophysischer,14,2.4
beschwerdesymptomatik stimmung,14,2.4
jugend,14,2.4
hohen,14,2.4
veränderung,14,2.4
schmerzqualität stechend,14,2.4
erhebliche,14,2.4
zeitraum,14,2.4
erreicht konzentrations,14,2.4
cpap,14,2.4
mutter brustkrebs,14,2.4
vermutet aufenthalt,14,2.4
gewichtszunahme stuhl,14,2.4
ausstrahlung rechten,14,2.4
rechtes,14,2.4
beidseitige,14,2.4
miktion stressinkontinenz,14,2.4
metoprolol,14,2.4
gestört zudem,14,2.4
bessere,14,2.4
winter,14,2.4
verlaufen,14,2.4
ende,14,2.4
schwitzen verringert,14,2.4
migräneanfälle,14,2.4
wenige,14,2.4
amitriptylin,14,2.4
ziehen,14,2.4
normal manchmal,14,2.4
nötigste,14,2.4
refluxösophagitis,14,2.4
bläulich zahneindrücke,14,2.4
kurzfristigen,14,2.4
obstruktives schlafapnoe,14,2.4
beschwerden schmerzen,14,2.4
stuhlkonsistenz,14,2.4
benigne,14,2.4
blut,14,2.4
kälte stress,14,2.4
deutlich eingeschränkt,14,2.4
anschluss,14,2.4
übelkeit erbrechen,14,2.4
drückenden empfunden,14,2.4
brennend stechend,14,2.4
charakter hohes,14,2.4
schwere,14,2.4
tropfen,14,2.4
begann,14,2.4
altersentsprechend,14,2.4
verspannung leide,14,2.4
laparoskopischer,14,2.4
zeit ausstrahlung,14,2.4
schmerzen stark,14,2.4
symptomatik letzten,14,2.4
appendektomie jahren,14,2.4
erschwerend kommen,14,2.4
fortgeschrittene,14,2.4
übergewichtigem haut,14,2.4
schmerzen dumpf,14,2.4
nierenlager klopfdolent,14,2.4
kontinuierlich,14,2.4
linderung erfährt,14,2.4
vermehrtes,14,2.4
degeneratives syndrom,14,2.4
verminderter,14,2.4
zunehmend zurückgezogen,14,2.4
abgesetzt,14,2.4
voltaren,14,2.4
mutter depression,14,2.4
würden leiden,14,2.4
leide jahr,14,2.4
schwangerschaften zwei,14,2.4
hinaus leidet,14,2.4
leiden antrieb,14,2.4
deutlich gebessert,14,2.4
nikotinkonsum durchschlafstörungen,14,2.4
lokal letzter,14,2.4
vigantol,14,2.4
kurzgefasst leide,14,2.4
schmerzcharakter ziehend,14,2.4
therapiert,14,2.4
würde symptomatik,14,2.4
nahezu ständig,14,2.4
schwerer,14,2.4
